ACRONYM,REFERS TO,DEFINITION,Area Key
HSM,Health Sector Management,"Academic center at Fuqua which offers a certificate focused on preparing leaders with knowledge to drive and innovate the health care industry. Available to students within the Daytime, Weekend Executive and Global Executive programs.",Center
IPO,International Programs Office,"Fuqua department responsible for a variety of international programming at Fuqua, including GATE, Exchange programs, and supporting the MBAA and international-focused clubs.",Department
ISW,Incoming Student Website,A Canvas site devoted to newly admitted students; full of information and resources to assist you in preparing to join Team Fuqua.,General
MBA,Master of Business Administration,"A Master of Business Administration, or MBA degree, is a graduate-level business degree with a focus on leadership and managerial skills.  At Fuqua, MBA refers to the Daytime MBA program, a full-time residential program based in Durham, North Carolina that is usually completed in two years.",Program
MBAA,MBA Association,"Student government for the Daytime MBA program, consisting of two Co-presidents and an Executive Cabinet. (Note: the MMS and MQM programs have corresponding student governments, MMSA and MQMA respectively)",General
MHFA,Mental Health First Aid,A skills-based training course that teaches participants about mental health and substance-use issues offered periodically through Fuqua's Office of Diversity and Inclusion.,General
MM,Multimedia,"The Multimedia team is an area in Fuqua’s Information Technology department that provides support for classroom technology and AV equipment, lecture capture, videoconferencing, and in-house video production.",Department
MMS,Master of Management Studies,1- year degree program providing business skills development to students that come primarily directly from undergraduate programs. Two cohorts of the program exist:  MMS: FOB and MMS: DKU.,Program
MMS: DKU,Master of Management Studies: Duke Kunshan University,1- year degree program providing business skills development to students that come primarily directly from undergraduate programs.  MMS: Duke Kunshan University splits time between Durham and the DKU campus in China.,Program
MMS: FOB ,Master of Management Studies: Foundations of Business,1- year degree program providing business skills development to students that come primarily directly from undergraduate programs.  MMS: Foundations of Business is based in Durham throughout the duration of the program.,Program
MQM: BA,Master of Quantitative Management: Business Analytics,"MQM:BA is an in-person 1-year degree program providing data, statistics, and analytics courses alongside business courses to improve students' critical thinking, communication, and collaboration skills while they complete up to 19 courses and a Capstone Project.",Program
MSP,Mentored Study Program,An experiential learning course at Fuqua where one student engages on a project scope with an external organization.,General
MSQM: BA,Master of Science in Quantitative Management: Business Analytics,"MSQM: BA is designed for working professionals with strong quantitative backgrounds, providing the business fundamentals and advanced data-analytics training needed for decision-making in modern business environments. ",Program
MSQM: HA,Master of Science in Quantitative Management: Health Analytics," MSQM:HA provides the business fundamentals, industry context, and advanced data analytics needed for decision-making in health care markets in this 19-month, online degree program designed for professionals with strong quantitative backgrounds and an interest in health care.  ",Program
OIT,Office of Information Technology,Duke’s central technology management office.,Department
OSL,Office of Student Life,Fuqua department dedicated to supporting and enriching the Daytime MBA student experience.,Department
PAS,Personal Assistance Service (employees),Personal Assistance Service (employees) SEE CAPS,General
PhD,Doctor of Philosophy,"Abbreviated from the Latin ""Philosophiae Doctor,"" a PhD is the highest academic degree.  At Duke, the PhD Program in Business Administration is administered by Duke's Graduate School and prepares candidates for research and teaching careers at leading educational institutions and for careers where advanced research and analytical capabilities are needed.",Program
POP,Professor of the Practice,A Regular Rank faculty -- contracted,Faculty
SAP,System Applications and Products,Duke's payroll and financial system,General
SDS,Software Development Services,"Software Development Services is an area in Fuqua’s Information Technology department that  provides software development resources and support for custom, in-house-developed systems including FuquaWorld, Fuqua Check-In, and Administrative Automation Projects, in addition to providing website support for all of Fuqua’s faculty areas and centers.",Department
SISS,Student Information Services and Systems,Student Information Services and Systems,General
SY,Second Year (Student),Fuqua Daytime MBA student in second year of the program.,General
TSC,Technical Support Center,"The Technical Support Center is an area in Fuqua’s Information Technology department that provides the first line of technical support to faculty, staff, and students. They provide a walk-in Help Desk and also manage Fuqua’s desktops, laptops and printers.",Department
TSC,Technical Support Center,"Fuqua department responsible for maintaining computing resources at Fuqua (desktop, computers, laptops, ePrint, etc.). The first point of contact for IT resources at Fuqua.",Department
WEMBA,Weekend Executive MBA,"MBA degree program for working professionals with a mix of monthly in-person residencies and distance learning sessions, completes in 22 months.",Program
WIC,Week-in-Cities,"Club-organized trips to different regions of the country to network with business and alumni. Typically scheduled during Fall and Winter breaks.  Participating programs are HSM, MBA, and MMS.",General
